,K,logP,e,w,num_of_planets
362,5.643938699,0.628670758,0.607149973,7.328720962,0
363,5.643938699,0.628670758,0.607149973,7.328720962,0
364,19.05423247,10.81737184,-0.931133938,12.60161941,0
365,19.05423247,10.81737184,-0.931133938,12.60161941,0
366,19.05423247,10.81737184,-0.931133938,12.60161941,0
367,15.35999468,5.09881719,0.939196839,-633.1247724,0
368,15.35999468,5.09881719,0.939196839,-633.1247724,0
369,15.35999468,5.09881719,0.939196839,-633.1247724,0
370,34.85014878,3.68461814,-0.230719853,-156.2062531,0
371,13.05248547,0.923375162,0.232025456,-26.25699948,1
372,139.8778363,1.68184469,0.534583624,13.8280712,1
373,90.7630918,7.042972654,0.499984447,-35.9394257,0
374,161.0657756,9.913635442,0.268654754,-78093.38219,2
375,24.59619684,7.98649051,0.312992687,6.734920669,2
376,36.31542255,6.945250028,-0.175549201,-5.358529914,1
377,808.4307566,4.216972444,0.158053112,0.093869224,0
378,34.42764071,4.310169484,-0.201777094,151.2521333,1
379,60.21498464,3.192422352,0.017888607,-19.96380912,1
380,68.2771206,3.192879732,-0.219034889,18.37933245,1
381,2.933948131,4.31319905,-0.161634546,-100.8981526,2
382,51.47043141,5.863412822,0.148431437,57.48222172,1
383,1.870323963,3.33238638,0.33664802,0.827566,0
384,1.870323963,3.33238638,0.33664802,0.827566,0
385,1.870323963,3.33238638,0.33664802,0.827566,0
386,9.161295318,3.924893384,0.284533,-0.49946339,0
387,9.161295318,3.924893384,0.284533,-0.49946339,0
388,9.161295318,3.924893384,0.284533,-0.49946339,0
389,12.07563713,10.84160414,0.902534921,27.41336437,0
390,12.07563713,10.84160414,0.902534921,27.41336437,0
391,12.07563713,10.84160414,0.902534921,27.41336437,0
392,21.56053625,4.353589697,-0.603789401,232.5850658,0
393,21.56053625,4.353589697,-0.603789401,232.5850658,0
394,21.56053625,4.353589697,-0.603789401,232.5850658,0
395,223.2239458,4.273419047,0.409612973,149.8961825,1
396,265.4945976,2.901568273,-0.008519424,11.98205696,1
397,240.2162061,2.877146756,-0.185335791,-0.045678929,1
398,337.2668619,4.06588756,-0.53041545,0.426554007,1
399,272.419581,2.901415198,0.018387521,-8.602170245,1
400,239.1162987,3.968320516,0.139742149,-67.31252306,1
401,50.46529898,7.229805488,-0.244585189,0.144596167,1
402,49.14236454,7.170887401,0.196817926,-1422.785006,1
403,196.4474092,7.255050226,0.730833754,3565.281494,1
404,42.10573745,5.652602431,0.620328678,-1583.301905,1
405,2426.308081,10.9566253,-0.773879816,0.000216548,1
406,244.6828948,9.554148741,-0.576737175,0.426352002,0
407,36.0394891,6.283433277,0.298085987,0.719173466,1
408,35.78832027,6.080557243,-0.21260011,252.2644468,1
409,39.75033692,4.117050281,0.266958612,-17.94876028,1
410,24.97892682,11.96352606,-0.974673006,2.420048007,1
411,24.97892682,11.96352606,-0.974673006,2.420048007,1
412,24.97892682,11.96352606,-0.974673006,2.420048007,1
413,45.0007455,4.291807616,0.755133423,-42.91459622,1
414,45.0007455,4.291807616,0.755133423,-42.91459622,1
415,45.0007455,4.291807616,0.755133423,-42.91459622,1
416,20.57194526,8.543540436,-0.62659104,1.144000074,0
417,20.57194526,8.543540436,-0.62659104,1.144000074,0
418,20.57194526,8.543540436,-0.62659104,1.144000074,0
419,13.75297774,3.47535828,-0.487959345,-71.2109828,0
420,13.75297774,3.47535828,-0.487959345,-71.2109828,0
421,13.75297774,3.47535828,-0.487959345,-71.2109828,0
422,18.75900137,9.344312005,-0.212393752,-0.168889497,0
423,18.75900137,9.344312005,-0.212393752,-0.168889497,0
424,18.75900137,9.344312005,-0.212393752,-0.168889497,0
425,331.6277749,8.963883471,-0.984497623,-0.563684655,0
426,331.6277749,8.963883471,-0.984497623,-0.563684655,0
427,331.6277749,8.963883471,-0.984497623,-0.563684655,0
428,579.155257,5.543377573,-0.427629985,-0.418146368,1
429,11.29639197,1.719524708,0.269058172,-6.166742774,0
430,17.61467759,3.307859334,-0.375917133,-66.67498252,0
431,349.1146336,7.030230363,0.836112622,-0.180721031,1
432,129.1734274,7.076479681,0.677214721,62.36631345,1
433,67.96016258,7.643188985,0.117498968,-0.911247238,2
434,44.2960804,5.697250873,-0.272177226,-336.4803163,1
435,47.37998693,5.308589878,0.50046431,-537.3479723,0
436,47.37998693,5.308589878,0.50046431,-537.3479723,0
437,47.37998693,5.308589878,0.50046431,-537.3479723,0
438,40.56658965,6.418194319,0.222349183,-1.108791644,1
439,70.67463665,4.040170244,0.830667291,-65.73348014,1
440,24.32904788,5.086456731,-0.181937787,68.5238469,2
441,19.47792402,4.867155376,0.252289521,-268.1572189,1
442,20.06506069,4.869284567,-0.32511005,17.94517925,1
443,143.781803,7.314368545,-0.473930834,-1.858274734,1
444,94.20191453,3.738937279,0.455310808,-0.516342546,1
445,62.38014264,2.80934907,-0.890755575,196.6004708,1
446,39.51989623,2.330240353,0.379073379,19.94277533,1
447,85.95600191,1.259731575,-0.008451147,-5.177705274,1
448,58.24113905,3.329865788,0.54628165,-122.5453873,1
449,67.47814168,2.30357103,0.720016054,0.760835226,1
450,39.30417456,6.091676312,-0.472765593,-981.2567216,1
451,40.57775416,6.08046701,0.464861586,-98.31722729,1
452,53.30901661,6.057408072,0.323169824,3146.62534,1
453,39.16650595,6.078860028,0.452843246,-714.2180472,1
