pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
HD 41004 A,b,3,99,963,0.74,97,1,,,,,,
HD 41004 B,b,3,6114,1.3283,0.081,178.5,1,,,,,,
HD 43197,b,3,32.4,327.8,0.83,251,1,,,,,,
HD 43691,b,3,130.06,36.9987,0.0796,292.7,1,,,,,,
HD 187085,b,3,15.39,1019.74,0.251,98.315,1,,,,,,
HD 187123,b,3,69.4,3.0965828,0.0103,25,2,,,,,,
HD 188015,b,3,37.6,461.2,0.137,222,1,,,,,,
HD 189733,b,3,205,2.21857567,0,,1,,,,,,
HD 190360,b,3,23.2,2915.03687,0.31,,2,,,,,,
HD 190647,b,3,37.51,1176.45,0.224,219.541,1,,,,,,
HD 190984,b,3,48,4885,0.57,318,1,,,,,,
HD 192263,b,3,51.9,24.3556,0.05,,1,,,,,,
HD 192310,b,3,3,74.72,0.13,173,2,,,,,,
HD 192699,b,3,49.3,340.94,0.082,87,1,,,,,,
HD 195019,b,3,271.5,18.20132,0.01,,1,,,,,,
HD 196050,b,3,49.7,1378,0.23,,1,,,,,,
HD 196067,b,3,104,3638,0.66,148.2,1,,,,,,
HD 196885,b,3,53.9,1333,0.48,78,1,,,,,,
6 Lyn,b,3,32.8,934.3,0.073,130,1,,,,,,
7 CMa,b,3,41.8,796,0.22,77,1,,,,,,
11 Com,b,3,302.8,326.03,0.231,94.8,1,,,,,,
11 UMi,b,3,189.7,516.21997,0.08,,1,,,,,,
14 And,b,3,100,185.84,0,0,1,,,,,,
14 Her,b,3,90,1773.40002,0.37,,1,,,,,,
16 Cyg B,b,3,50.5,798.5,0.68,,1,,,,,,
18 Del,b,3,119.4,993.3,0.08,166.1,1,,,,,,
24 Sex,b,3,40,452.8,0.09,9.2,2,,,,,,
30 Ari B,b,3,272,335.10001,0.29,,1,,,,,,
42 Dra,b,3,110.5,479.1,0.38,218.7,1,,,,,,
47 UMa,b,3,48.4,1078,0.032,334,3,,,,,,
51 Peg,b,3,55.94,4.230785,0.013,58,1,,,,,,
55 Cnc,b,3,71.4,14.65152,0.0034,98,5,,,,,,
HD 44219,b,3,19.4,472.3,0.61,147.4,1,,,,,,
HD 45364,b,3,7.22,226.93,0.1684,162.58,2,,,,,,
HD 45350,b,3,58,963.6,0.778,343.4,1,,,,,,
HD 45652,b,3,33.2,44.073,0.607,227.7,1,,,,,,
HD 46375,b,3,33.65,3.023573,0.063,114,1,,,,,,
HD 47186,b,3,9.1,4.0845,0.04,,2,,,,,,
HD 47536,b,3,113,712.13,0.2,260.8,1,,,,,,
HD 48265,b,3,28.65,778.51,0.211,308.313,1,,,,,,
HD 49674,b,3,12,4.94737,0.09,,1,,,,,,
HD 50499,b,3,21.99,2447.1,0.266,288.31,2,,,,,,
HD 50554,b,3,104,1293,0.501,,1,,,,,,
HD 52265,b,3,42.97,119.27,0.27,242,1,,,,,,
HD 60532,b,3,29.1,201.9,0.26,-3.7,2,,,,,,
HD 62509,b,3,41,589.64,0.02,354.58,1,,,,,,
HD 197037,b,3,15.5,1035.7,0.22,298,1,,,,,,
HD 200964,b,3,30.9,606.3,0.087,133,2,,,,,,
HD 204313,b,3,57,1920.09998,0.23,,2,,,,,,
HD 204941,b,3,5.9,1733,0.37,,1,,,,,,
HD 205739,b,3,42,279.8,0.27,301,1,,,,,,
HD 206610,b,3,35.4,673.2,0.1,334,1,,,,,,
HD 207832,b,3,20.73,160.07,0.197,1,2,,,,,,
HD 208527,b,3,155.4,875.5,0.08,278,1,,,,,,
HD 208487,b,3,19.7,130.08,0.24,113,1,,,,,,
HD 209458,b,3,84.7,3.52474859,0,,1,,,,,,
HD 210277,b,3,38.9,442.19,0.48,,1,,,,,,
HD 210702,b,3,37.8,354.1,0.028,189,1,,,,,,
HD 212771,b,3,50,380.7,0.076,29,1,,,,,,
Kepler-93,b,3,1.6,4.72674,0,,2,,,,,,
Kepler-94,b,3,6.11,2.50806,,,2,,,,,,
Kepler-95,b,3,3.36,11.5231,,,1,,,,,,
Kepler-96,b,3,2.1,16.2385,,,1,,,,,,
